result_key,surface_power [wh],runtime [sec]
columns_85_c1c,215.0,1.28
columns_85_c1m,4627.097999999995,1.28
columns_85_c1s,214.0,66.19
columns_85_c1c,215.0,66.19
columns_85_c1m,4627.097999999995,66.19
columns_85_c2s,214.0,1.18
columns_85_c2c,215.0,1.18
columns_85_c2m,4627.097999999995,1.18
columns_85_c2s,214.0,65.24
columns_85_c2c,215.0,65.24
columns_85_c2m,4627.097999999995,65.24
columns_90_a1,1415.93,0.02
columns_90_a2,1415.93,0.16
columns_90_a3,1415.93,1.33
columns_90_a4,2910.3,1.34
columns_90_b1,3491.45,1.08
columns_90_b2,3906.56,99.94
columns_90_c1s,201.0,1.37
columns_90_c1c,201.0,1.37
columns_90_c1m,3051.4050000000025,1.37
columns_90_c1s,201.0,65.51
columns_90_c1c,201.0,65.51
columns_90_c1m,3051.4050000000025,65.51
columns_90_c2s,201.0,1.15
columns_90_c2c,201.0,1.15
columns_90_c2m,3051.4050000000025,1.15
columns_90_c2s,201.0,64.85
columns_90_c2c,201.0,64.85
columns_90_c2m,3051.4050000000025,64.85
rectangle_10_a1,8001.96,0.02
rectangle_10_a2,26322.23,0.17
rectangle_10_a3,24123.8,1.34
rectangle_10_a4,25406.22,1.3
rectangle_10_b1,23705.05,1.08
rectangle_10_b2,24388.42,95.59
rectangle_10_c1s,2587.0,1.28
rectangle_10_c1c,2586.0,1.28
rectangle_10_c1m,17787.023999999998,1.28
rectangle_10_c1s,2587.0,64.86
rectangle_10_c1c,2586.0,64.86
rectangle_10_c1m,17787.023999999998,64.86
rectangle_10_c2s,2587.0,1.16
rectangle_10_c2c,2586.0,1.16
rectangle_10_c2m,17787.023999999998,1.16
rectangle_10_c2s,2587.0,64.6
rectangle_10_c2c,2586.0,64.6
rectangle_10_c2m,17787.023999999998,64.6
rectangle_15_a1,7580.8,0.02
rectangle_15_a2,16951.52,0.16
rectangle_15_a3,23323.6,1.29
rectangle_15_a4,24822.92,1.29
rectangle_15_b1,23644.88,1.08
rectangle_15_b2,23585.39,91.06
rectangle_15_c1s,2587.0,1.27
rectangle_15_c1c,2586.0,1.27
rectangle_15_c1m,17740.920000000006,1.27
rectangle_15_c1s,2587.0,65.29
rectangle_15_c1c,2586.0,65.29
rectangle_15_c1m,17740.920000000006,65.29
rectangle_15_c2s,2587.0,1.17
rectangle_15_c2c,2586.0,1.17
rectangle_15_c2m,17740.920000000006,1.17
rectangle_15_c2s,2587.0,65.02
rectangle_15_c2c,2586.0,65.02
rectangle_15_c2m,17740.920000000006,65.02
rectangle_20_a1,7159.65,0.02
rectangle_20_a2,16740.94,0.16
rectangle_20_a3,21723.21,1.3
rectangle_20_a4,24022.72,1.29
rectangle_20_b1,22215.96,1.08
rectangle_20_b2,22626.59,95.95
rectangle_20_c1s,2587.0,1.38
rectangle_20_c1c,2586.0,1.38
rectangle_20_c1m,16664.369999999995,1.38
rectangle_20_c1s,2587.0,65.36
rectangle_20_c1c,2586.0,65.36
rectangle_20_c1m,16664.369999999995,65.36
rectangle_20_c2s,2587.0,1.17
rectangle_20_c2c,2586.0,1.17
rectangle_20_c2m,16664.369999999995,1.17
rectangle_20_c2s,2587.0,66.73
rectangle_20_c2c,2586.0,66.73
rectangle_20_c2m,16664.369999999995,66.73
rectangle_25_a1,6738.49,0.02
rectangle_25_a2,13266.4,0.16
rectangle_25_a3,20447.11,1.31
