result_key,surface_power [wh],runtime [sec]
ellipse_35_b2,18297.3,94.6
ellipse_40_a1,3514.02,0.02
ellipse_40_a2,11116.75,0.16
ellipse_40_a3,15830.45,1.28
ellipse_40_a4,18795.52,1.28
ellipse_40_b1,16004.23,1.08
ellipse_40_b2,17072.23,91.92
ellipse_45_a1,3415.31,0.02
ellipse_45_a2,11050.95,0.16
ellipse_45_a3,13952.49,1.29
ellipse_45_a4,17617.6,1.29
ellipse_45_b1,15959.57,1.07
ellipse_45_b2,15914.12,91.82
ellipse_50_a1,3316.6,0.02
ellipse_50_a2,10985.14,0.16
ellipse_50_a3,12978.96,1.29
ellipse_50_a4,16659.87,1.28
ellipse_50_b1,14271.66,1.08
ellipse_50_b2,14650.52,94.99
ellipse_55_a1,3147.1,0.02
ellipse_55_a2,10872.14,0.16
ellipse_55_a3,11258.39,1.29
ellipse_55_a4,15429.92,1.29
ellipse_55_b1,14182.88,1.09
ellipse_55_b2,13447.16,91.83
ellipse_60_a1,2956.99,0.02
ellipse_60_a2,6851.19,0.16
ellipse_60_a3,9966.56,1.29
ellipse_60_a4,13938.65,1.28
ellipse_60_b1,12414.35,1.08
ellipse_60_b2,12140.83,89.58
ellipse_65_a1,2772.8,0.02
ellipse_65_a2,2772.8,0.16
ellipse_65_a3,8424.66,1.28
ellipse_65_a4,13134.55,1.34
ellipse_65_b1,10061.91,1.08
ellipse_65_b2,10818.85,94.7
ellipse_70_a1,2594.53,0.02
ellipse_70_a2,2594.53,0.16
ellipse_70_a3,6390.96,1.33
ellipse_70_a4,11848.33,1.31
ellipse_70_b1,9938.82,1.08
ellipse_70_b2,9581.02,92.32
ellipse_75_a1,2422.18,0.02
ellipse_75_a2,2422.18,0.16
ellipse_75_a3,5768.19,1.28
ellipse_75_a4,10309.2,1.28
ellipse_75_b1,6974.57,1.08
ellipse_75_b2,8183.8,91.67
ellipse_80_a1,2255.76,0.02
ellipse_80_a2,2255.76,0.16
ellipse_80_a3,4662.41,1.3
ellipse_80_a4,8272.38,1.36
ellipse_80_b1,6839.85,1.09
ellipse_80_b2,6930.58,93.39
ellipse_85_a1,2095.26,0.02
ellipse_85_a2,2095.26,0.16
ellipse_85_a3,4033.42,1.29
ellipse_85_a4,6698.39,1.28
ellipse_85_b1,5556.26,1.09
ellipse_85_b2,5686.05,90.76
ellipse_90_a1,1940.69,0.02
ellipse_90_a2,1940.69,0.16
ellipse_90_a3,2915.95,1.28
ellipse_90_a4,5597.92,1.29
ellipse_90_b1,4262.74,1.07
ellipse_90_b2,4325.63,92.12
organic_10_a1,26322.23,0.02
organic_10_a2,21101.65,0.16
organic_10_a3,25194.58,1.3
organic_10_a4,25319.88,1.3
organic_10_b1,25278.11,1.09
organic_10_b2,25027.03,105.86
organic_15_a1,26322.23,0.02
organic_15_a2,20761.66,0.16
organic_15_a3,24587.33,1.3
organic_15_a4,24854.24,1.29
organic_15_b1,24574.62,1.09
organic_15_b2,24188.03,104.38
organic_20_a1,26322.23,0.02
organic_20_a2,16881.32,0.16
organic_20_a3,22923.5,1.3
organic_20_a4,24339.64,1.29
organic_20_b1,23962.0,1.09
organic_20_b2,23495.58,102.79
organic_25_a1,26322.23,0.02
organic_25_a2,15089.22,0.16
organic_25_a3,21529.48,1.3
organic_25_a4,24225.4,1.3
organic_25_b1,22934.5,1.1
organic_25_b2,22521.43,95.83
organic_30_a1,26322.23,0.02
organic_30_a2,15793.34,0.17
organic_30_a3,21268.36,1.36
organic_30_a4,23005.63,1.33
organic_30_b1,22185.88,1.12
organic_30_b2,21596.76,105.68
organic_35_a1,9712.9,0.02
organic_35_a2,12481.12,0.16
organic_35_a3,20010.69,1.3
organic_35_a4,22502.08,1.3
organic_35_b1,20983.52,1.09
organic_35_b2,20522.15,104.54
organic_40_a1,8896.91,0.02
organic_40_a2,11801.13,0.16
organic_40_a3,17435.32,1.3
organic_40_a4,21965.9,1.3
organic_40_b1,19269.13,1.09
organic_40_b2,19193.06,101.55
organic_45_a1,8080.92,0.02
organic_45_a2,9601.03,0.16
organic_45_a3,16654.34,1.32
organic_45_a4,21032.25,1.4
organic_45_b1,18287.37,1.15
organic_45_b2,18106.4,106.31
organic_50_a1,7264.94,0.02
organic_50_a2,7264.94,0.16
organic_50_a3,14887.85,1.39
organic_50_a4,20223.9,1.31
organic_50_b1,16566.71,1.09
organic_50_b2,16672.58,102.38
organic_55_a1,6448.95,0.02
organic_55_a2,8105.05,0.16
organic_55_a3,13603.33,1.3
organic_55_a4,19167.85,1.3
organic_55_b1,15439.24,1.09
organic_55_b2,15391.92,100.96
organic_60_a1,5632.96,0.02
organic_60_a2,7357.06,0.16
organic_60_a3,12874.2,1.31
organic_60_a4,18046.52,1.29
organic_60_b1,13268.28,1.09
organic_60_b2,13871.72,97.76
organic_65_a1,4816.97,0.02
organic_65_a2,4816.97,0.16
organic_65_a3,9978.23,1.35
organic_65_a4,17505.07,1.29
organic_65_b1,11729.37,1.09
organic_65_b2,12335.28,99.39
organic_70_a1,4000.98,0.02
organic_70_a2,4000.98,0.16
organic_70_a3,8018.8,1.3
organic_70_a4,16500.88,1.3
organic_70_b1,10378.48,1.09
organic_70_b2,10648.64,97.33
organic_75_a1,3083.07,0.02
organic_75_a2,3083.07,0.16
organic_75_a3,6104.16,1.31
organic_75_a4,13773.08,1.3
organic_75_b1,8892.86,1.1
organic_75_b2,8985.08,109.37
organic_80_a1,1705.68,0.02
organic_80_a2,1705.68,0.16
organic_80_a3,5152.0,1.29
organic_80_a4,12290.8,1.29
organic_80_b1,6394.55,1.08
organic_80_b2,6702.25,102.85
organic_85_a1,733.02,0.02
organic_85_a2,733.02,0.16
organic_85_a3,3291.94,1.36
organic_85_a4,11736.38,1.29
organic_85_b1,4693.26,1.08
organic_85_b2,4759.26,100.15
organic_90_a1,165.09,0.02
organic_90_a2,165.09,0.16
organic_90_a3,2780.81,1.29
organic_90_a4,10627.95,1.29
organic_90_b1,3901.83,1.08
organic_90_b2,3647.52,94.72
triangle_10_a1,26322.23,0.03
triangle_10_a2,24694.64,0.16
triangle_10_a3,24564.43,1.32
triangle_10_a4,22025.39,1.62
triangle_10_b1,24462.13,1.23
triangle_10_b2,24338.12,112.5
triangle_15_a1,26322.23,0.02
triangle_15_a2,24671.06,0.16
triangle_15_a3,23548.26,1.31
triangle_15_a4,20774.29,1.3
triangle_15_b1,23255.77,1.11
triangle_15_b2,23314.74,110.38
triangle_20_a1,26322.23,0.02
triangle_20_a2,21297.97,0.16
triangle_20_a3,22302.82,1.32
triangle_20_a4,19288.27,1.3
triangle_20_b1,22494.23,1.15
triangle_20_b2,22227.06,114.12
triangle_25_a1,26322.23,0.02
triangle_25_a2,21227.23,0.17
triangle_25_a3,21227.23,1.34
triangle_25_a4,17966.44,1.36
triangle_25_b1,21227.23,1.15
triangle_25_b2,21134.23,109.95
triangle_30_a1,26322.23,0.02
triangle_30_a2,21156.49,0.17
triangle_30_a3,19916.71,1.4
triangle_30_a4,16610.64,1.29
triangle_30_b1,19434.58,1.09
triangle_30_b2,20012.65,107.71
triangle_35_a1,26322.23,0.02
triangle_35_a2,19340.26,0.18
triangle_35_a3,18781.7,1.37
triangle_35_a4,14592.52,1.42
triangle_35_b1,18841.55,1.2
triangle_35_b2,18883.11,110.64
triangle_40_a1,26322.23,0.02
triangle_40_a2,17476.86,0.16
triangle_40_a3,17406.1,1.31
triangle_40_a4,13372.61,1.33
triangle_40_b1,17729.59,1.09
triangle_40_b2,17708.53,108.86
triangle_45_a1,26322.23,0.02
triangle_45_a2,15566.31,0.17
triangle_45_a3,16211.66,1.36
triangle_45_a4,12124.41,1.3
triangle_45_b1,16590.68,1.17
triangle_45_b2,16496.78,103.78
triangle_50_a1,4527.42,0.02
triangle_50_a2,15424.83,0.16
triangle_50_a3,14335.09,1.3
triangle_50_a4,10847.92,1.29
triangle_50_b1,15424.83,1.09
triangle_50_b2,15273.47,95.45
triangle_55_a1,4244.46,0.03
triangle_55_a2,13443.53,0.21
triangle_55_a3,13517.12,1.3
triangle_55_a4,10426.24,1.29
triangle_55_b1,13706.36,1.08
triangle_55_b2,14052.42,96.0
triangle_60_a1,3961.5,0.02
triangle_60_a2,9551.68,0.16
triangle_60_a3,12011.36,1.3
triangle_60_a4,8433.64,1.29
triangle_60_b1,12746.07,1.08
triangle_60_b2,12754.94,93.68
triangle_65_a1,3678.53,0.02
triangle_65_a2,9339.46,0.16
triangle_65_a3,10924.51,1.3
triangle_65_a4,7075.09,1.29
triangle_65_b1,11496.0,1.1
triangle_65_b2,11482.52,103.6
triangle_70_a1,3395.57,0.02
triangle_70_a2,7216.68,0.18
triangle_70_a3,9585.77,1.38
triangle_70_a4,6146.77,1.36
triangle_70_b1,10491.92,1.17
triangle_70_b2,10123.45,114.95
triangle_75_a1,2944.52,0.02
triangle_75_a2,6840.81,0.16
triangle_75_a3,7620.06,1.33
triangle_75_a4,4814.74,1.37
triangle_75_b1,8510.64,1.12
triangle_75_b2,8663.71,111.45
triangle_80_a1,2433.49,0.02
triangle_80_a2,2433.49,0.16
triangle_80_a3,6255.69,1.32
triangle_80_a4,4105.7,1.3
triangle_80_b1,7268.12,1.09
triangle_80_b2,7073.78,109.23
triangle_85_a1,1971.13,0.02
triangle_85_a2,1971.13,0.16
triangle_85_a3,4649.75,1.3
triangle_85_a4,3188.68,1.29
triangle_85_b1,5449.86,1.09
triangle_85_b2,5483.68,99.15
triangle_90_a1,1557.43,0.02
triangle_90_a2,1557.43,0.16
triangle_90_a3,2795.67,1.29
triangle_90_a4,2795.67,1.29
triangle_90_b1,3915.99,1.08
triangle_90_b2,3886.5,97.78
rows_10_c1s,17828.0,1.22
rows_10_c1c,13942.0,1.22
rows_10_c1m,18046.35600000001,1.22
rows_10_c1s,17828.0,64.33
rows_10_c1c,13942.0,64.33
rows_10_c1m,18046.35600000001,64.33
rows_10_c2s,17828.0,1.16
rows_10_c2c,13942.0,1.16
rows_10_c2m,18046.35600000001,1.16
rows_10_c2s,17828.0,64.78
rows_10_c2c,13942.0,64.78
rows_10_c2m,18046.35600000001,64.78
rows_15_c1s,17773.0,1.17
rows_15_c1c,13899.0,1.17
rows_15_c1m,17985.876000000004,1.17
rows_15_c1s,17773.0,64.89
rows_15_c1c,13899.0,64.89
rows_15_c1m,17985.876000000004,64.89
rows_15_c2s,17773.0,1.22
rows_15_c2c,13899.0,1.22
rows_15_c2m,17985.876000000004,1.22
rows_15_c2s,17773.0,65.06
rows_15_c2c,13899.0,65.06
rows_15_c2m,17985.876000000004,65.06
rows_20_c1s,17718.0,1.17
rows_20_c1c,13856.0,1.17
rows_20_c1m,17925.372,1.17
rows_20_c1s,17718.0,68.09
rows_20_c1c,13856.0,68.09
rows_20_c1m,17925.372,68.09
rows_20_c2s,17718.0,1.25
rows_20_c2c,13856.0,1.25
rows_20_c2m,17925.372,1.25
