result_key,surface_power [wh],runtime [sec]
columns_65_c1m,1523.7879999999998,1.14
columns_65_c2s,1128.0,63.7
columns_65_c2c,787.0,63.7
columns_65_c2m,1384.5480000000007,63.7
columns_70_a1,77.63,0.02
columns_70_a2,942.1,0.16
columns_70_a3,1633.67,1.26
columns_70_a4,1426.2,1.27
columns_70_b1,1806.57,1.06
columns_70_b2,1633.67,76.53
columns_70_c1s,434.0,1.19
columns_70_c1c,264.0,1.19
columns_70_c1m,1515.2199999999991,1.19
columns_70_c2s,948.0,63.71
columns_70_c2c,650.0,63.71
columns_70_c2m,1203.404999999999,63.71
columns_75_a1,72.07,0.02
columns_75_a2,937.47,0.16
columns_75_a3,1110.55,1.27
columns_75_a4,1162.47,1.27
columns_75_b1,1370.16,1.06
columns_75_b2,1370.16,77.06
columns_75_c1s,320.0,1.25
columns_75_c1c,250.0,1.25
columns_75_c1m,1209.998999999998,1.25
columns_75_c2s,827.0,63.72
columns_75_c2c,559.0,63.72
columns_75_c2m,1113.5499999999986,63.72
columns_80_a1,66.72,0.02
columns_80_a2,933.01,0.16
columns_80_a3,586.49,1.42
columns_80_a4,898.36,1.29
columns_80_b1,933.01,1.07
columns_80_b2,1106.26,78.53
columns_80_c1s,320.0,1.19
columns_80_c1c,238.0,1.19
columns_80_c1m,902.7060000000006,1.19
columns_80_c2s,568.0,63.71
columns_80_c2c,417.0,63.71
columns_80_c2m,849.0759999999989,63.71
columns_85_a1,61.58,0.02
columns_85_a2,61.58,0.16
columns_85_a3,581.86,1.27
columns_85_a4,633.89,1.29
columns_85_b1,928.72,1.06
columns_85_b2,842.01,76.6
columns_85_c1s,294.0,1.26
columns_85_c1c,229.0,1.26
columns_85_c1m,892.0659999999984,1.26
columns_85_c2s,470.0,63.86
columns_85_c2c,293.0,63.86
columns_85_c2m,757.2219999999993,63.86
columns_90_a1,56.64,0.02
columns_90_a2,56.64,0.16
columns_90_a3,56.64,1.27
columns_90_a4,369.11,1.27
columns_90_b1,490.62,1.06
columns_90_b2,577.42,79.04
columns_90_c1s,288.0,1.2
columns_90_c1c,219.0,1.2
columns_90_c1m,581.6580000000009,1.2
columns_90_c2s,365.0,63.97
columns_90_c2c,244.0,63.97
columns_90_c2m,581.5080000000002,63.97
rectangle_10_a1,778.43,0.02
rectangle_10_a2,5264.45,0.16
rectangle_10_a3,4726.12,1.27
rectangle_10_a4,5040.15,1.27
rectangle_10_b1,4623.59,1.06
rectangle_10_b2,4790.92,77.01
rectangle_10_c1s,3052.0,1.2
rectangle_10_c1c,2520.0,1.2
rectangle_10_c1m,3485.663999999998,1.2
rectangle_10_c2s,3041.0,64.06
rectangle_10_c2c,2614.0,64.06
rectangle_10_c2m,3184.316999999995,64.06
rectangle_15_a1,698.65,0.02
rectangle_15_a2,2981.55,0.16
rectangle_15_a3,4533.92,1.27
rectangle_15_a4,4899.18,1.26
rectangle_15_b1,4612.19,1.06
rectangle_15_b2,4597.69,78.53
rectangle_15_c1s,3052.0,1.25
rectangle_15_c1c,2520.0,1.25
rectangle_15_c1m,3476.8319999999967,1.25
rectangle_15_c2s,2921.0,64.05
rectangle_15_c2c,2471.0,64.05
rectangle_15_c2m,3075.575999999995,64.05
rectangle_20_a1,623.18,0.02
rectangle_20_a2,2943.81,0.16
rectangle_20_a3,4150.54,1.27
rectangle_20_a4,4707.49,1.27
rectangle_20_b1,4269.89,1.06
rectangle_20_b2,4369.34,76.59
rectangle_20_c1s,2689.0,1.2
rectangle_20_c1c,1949.0,1.2
rectangle_20_c1m,3262.097999999997,1.2
rectangle_20_c2s,2765.0,63.66
rectangle_20_c2c,2043.0000000000002,63.66
rectangle_20_c2m,2960.6759999999967,63.66
rectangle_25_a1,552.02,0.02
rectangle_25_a2,2122.83,0.16
rectangle_25_a3,3850.72,1.27
rectangle_25_a4,4510.46,1.26
rectangle_25_b1,4254.64,1.06
rectangle_25_b2,4142.44,77.82
rectangle_25_c1s,2679.0,1.31
rectangle_25_c1c,1932.0,1.31
rectangle_25_c1m,3248.921999999997,1.31
rectangle_25_c2s,2636.0,63.99
